temp_measured;r_ntc
-60;698,967
-59;647,619
-58;600,366
-57;556,872
-56;516,809
-55;479,895
-54;445,844
-53;414,433
-52;385,44
-51;358,655
-50;333,914
-49;311,028
-48;289,859
-47;270,265
-46;252,115
-45;235,305
-44;219,722
-43;205,266
-42;191,856
-41;179,403
-40;167,835
-39;157,089
-38;147,096
-37;137,803
-36;129,153
-35;121,097
-34;113,598
-33;106,609
-32;100,092
-31;94,013
-30;88,342
-29;83,046
-28;78,1
-27;73,48
-26;69,161
-25;65,122
-24;61,343
-23;57,807
-22;54,496
-21;51,394
-20;48,487
-19;45,763
-18;43,207
-17;40,81
-16;38,561
-15;36,447
-14;34,464
-13;32,599
-12;30,846
-11;29,199
-10;27,649
-9;26,19
-8;24,817
-7;23,523
-6;22,305
-5;21,1573
-4;20,0747
-3;19,0543
-2;18,0914
-1;17,1831
0;16,3254
1;15,5152
2;14,75
3;14,0271
4;13,3438
5;12,6978
6;12,0863
7;11,508
8;10,9608
9;10,4426
10;9,9518
11;9,4868
12;9,0463
13;8,6287
14;8,2325
15;7,857
16;7,5006
17;7,1623
18;6,8413
19;6,5364
20;6,2468
21;5,9716
22;5,71
23;5,4613
24;5,225
25;5
26;4,786
27;4,5824
28;4,3885
29;4,2039
30;4,028
31;3,8605
32;3,7008
33;3,5486
34;3,4035
35;3,2651
36;3,1331
37;3,0071
38;2,8869
39;2,7721
40;2,6624
41;2,5578
42;2,4577
43;2,3621
44;2,2708
45;2,18345
46;2,09993
47;2,02004
48;1,9436
49;1,8705
50;1,80049
51;1,73346
52;1,6693
53;1,60781
54;1,54896
55;1,49254
56;1,43846
57;1,38662
58;1,33693
59;1,28926
60;1,24353
61;1,1997
62;1,15759
63;1,11718
64;1,07837
65;1,04115
66;1,00538
67;0,97103
68;0,93802
69;0,9063
70;0,87581
71;0,8465
72;0,81831
73;0,79121
74;0,76514
75;0,74006
76;0,71593
77;0,69268
78;0,67034
79;0,64882
80;0,62809
81;0,60811
82;0,58888
83;0,57036
84;0,5525
85;0,53529
86;0,5187
87;0,5027
88;0,48728
89;0,4724
90;0,45806
91;0,4442
92;0,43085
93;0,41796
94;0,40551
95;0,39349
96;0,38189
97;0,37069
98;0,35987
99;0,34941
100;0,33932
101;0,32955
102;0,32012
103;0,311
104;0,30218
105;0,29365
106;0,28541
107;0,27743
108;0,26972
109;0,26226
110;0,25503
111;0,24804
112;0,24128
113;0,23472
114;0,22838
115;0,22224
116;0,21629
117;0,21053
118;0,20495
119;0,19954
120;0,1943
121;0,18922
122;0,1843
123;0,17952
124;0,17489
125;0,17041
126;0,16606
127;0,16183
128;0,15774
129;0,15377
130;0,14991
131;0,14617
132;0,14254
133;0,13902
134;0,13559
135;0,13227
136;0,12904
137;0,12591
138;0,12287
139;0,11991
140;0,11704
141;0,11425
142;0,11154
143;0,1089
144;0,10634
145;0,10385
146;0,10143
147;0,099074
148;0,096785
149;0,094559
150;0,092393
