temp_measured;r_ntc;temp_calc;temp_diff
-30,0;1733,2;-30,5056736581;0,505673658141
-25,0;1283,0;-25,455237946;0,455237945958
-20,0;959,05;-20,4048341012;0,404834101246
-15,0;724,8;-15,3854691643;0,385469164274
-10,0;551,41;-10,3272498788;0,327249878846
-5,0;423,7;-5,29927765732;0,299277657323
0,0;327,24;-0,215607186265;0,215607186265
5,0;254,8;4,85956652626;0,140433473742
10,0;199,99;9,92032356477;0,0796764352343
15,0;157,6;15,0454197776;-0,0454197776117
20,0;125,245;20,1343325404;-0,134332540418
25,0;100,0;25,2632233721;-0,263223372073
30,0;81,0;30,1986236342;-0,198623634228
35,0;65,65;35,2540678494;-0,254067849444
40,0;53,5;40,3122193388;-0,312219338812
45,0;43,78;45,4009592313;-0,400959231337
50,0;35,899;50,5728297244;-0,572829724402
55,0;29,99;55,3796001467;-0,379600146708
60,0;25,0;60,364202073;-0,364202073003
65,0;20,9;65,3930859267;-0,393085926682
70,0;17,55;70,4189549216;-0,418954921643
75,0;14,76;75,5223590193;-0,522359019266
80,0;12,54;80,4422967861;-0,442296786149
85,0;10,66;85,4600236713;-0,460023671315
90,0;9,1;90,4621234858;-0,462123485813
95,0;7,784;95,5145820099;-0,514582009865
100,0;6,71;100,425578632;-0,425578631722
105,0;5,85;105,059416391;-0,0594163908564
110,0;5,07;109,9965207;0,0034793001426
115,0;4,41;114,91199705;0,0880029500204
120,0;3,85;119,79978947;0,200210529531
125,0;3,34;125,024894918;-0,0248949181708
130,0;2,94;129,814539845;0,185460155232
135,0;2,58;134,819267636;0,180732364054
140,0;2,271;139,807875256;0,192124743988
145,0;2,0;144,879044997;0,120955002507
150,0;1,77;149,853217388;0,146782611843
155,0;1,589;154,328193385;0,671806614954
160,0;1,414;159,258321704;0,741678296136
165,0;1,259;164,259188874;0,740811125778
170,0;1,122;169,317738476;0,68226152401
175,0;0,997;174,606749831;0,393250168528
180,0;0,896;179,481389086;0,518610913934
185,0;0,797;184,928134631;0,0718653689276
190,0;0,719;189,810944718;0,189055281986
195,0;0,643;195,207005874;-0,207005873557
200,0;0,582;200,111316549;-0,111316549458
205,0;0,533;204,510927706;0,489072294133
210,0;0,483;209,520961006;0,479038993698
215,0;0,437;214,702657867;0,297342132654
220,0;0,396;219,895654447;0,104345553077
225,0;0,36;225,008929946;-0,00892994617925
230,0;0,328;230,090183371;-0,0901833709482
235,0;0,2993;235,174348798;-0,17434879786
240,0;0,2737;240,22335788;-0,223357879773
245,0;0,2507;245,262982845;-0,262982844776
250,0;0,23;250,292926477;-0,292926476726
255,0;0,2114;255,295461377;-0,295461376605
260,0;0,1946;260,287164009;-0,287164008689
265,0;0,1794;265,26818428;-0,268184280016
270,0;0,1656;270,248088865;-0,248088864877
275,0;0,1531;275,207493316;-0,207493315566
280,0;0,1417;280,172908049;-0,172908048823
285,0;0,1314;285,089701697;-0,0897016966752
290,0;0,122;289,998647022;0,00135297778183
295,0;0,1134;294,90547512;0,0945248803346
300,0;0,1056;299,759593796;0,240406203791
