temp_measured;r_ntc;temp_calc;temp_diff
-40,0;190,5562;-39,0006595029;-0,999340497112
-35,0;151,5975;-34,8293166137;-0,170683386306
-30,0;116,3519;-29,8576592853;-0,142340714715
-25,0;90,0326;-24,8838391056;-0,1161608944
-20,0;70,5811;-20,0150597156;0,0150597156489
-15,0;55,7284;-15,1454363055;0,145436305453
-10,0;44,1201;-10,1865376411;0,186537641076
-5,0;35,0362;-5,14505802101;0,145058021012
0,0;28,017;-0,110459069577;0,110459069577
5,0;22,6597;4,80644338587;0,19355661413
10,0;18,56;9,55766326263;0,442336737367
15,0;16,2797;12,7477874154;2,25221258459
20,0;12,69;18,9669476644;1,03305233562
25,0;10,0;25,1147398657;-0,114739865726
30,0;8,16;30,5238704059;-0,523870405894
35,0;6,8133;35,4515301814;-0,451530181429
40,0;5,734;40,2813918917;-0,281391891707
45,0;4,8286;45,2131579493;-0,21315794926
50,0;4,065;50,2762169003;-0,27621690032
55,0;3,4146;55,5342618253;-0,534261825254
60,0;2,825;61,4044928945;-1,4044928945
65,0;2,5076;65,1802343158;-0,180234315805
70,0;2,135;70,3835189931;-0,383518993133
75,0;1,8225;75,6265062893;-0,626506289286
80,0;1,586;80,3359306341;-0,335930634077
85,0;1,4006;84,6333569006;0,366643099449
90,0;1,236;89,03876568;0,961234320007
95,0;1,0744;94,0786003403;0,921399659694
100,0;0,918;99,8701746689;0,129825331112
105,0;0,787;105,679162435;-0,679162435271
110,0;0,713;109,480246803;0,519753196694
